week,mouse_id,condition,behavior,duration_s,bin_index,bin_label,bout_onset_s
Preinduction,459,Social,Social_interaction,3.3200000000724685,0,0.0-2.5min,32.159967999999935
Preinduction,459,Social,Social_interaction,0.6000000000130967,0,0.0-2.5min,36.87996799999928
Preinduction,459,Social,Social_interaction,1.1200000000244472,0,0.0-2.5min,77.95993599999929
Preinduction,459,Social,Social_interaction,0.680000000014843,0,0.0-2.5min,80.47993599999973
Preinduction,459,Social,Social_interaction,11.720000000255823,0,0.0-2.5min,101.63993599999958
Preinduction,459,Social,Social_interaction,1.4400000000314321,1,2.5-5.0min,214.3198400000001
Preinduction,459,Novel,Novel_interaction,2.2000000000480213,0,0.0-2.5min,15.040000000000873
Preinduction,459,Novel,Novel_interaction,11.240000000245345,0,0.0-2.5min,78.28000000000065
Preinduction,459,Novel,Social_interaction,0.36000000000785803,0,0.0-2.5min,2.5200000000004366
Preinduction,459,Novel,Social_interaction,3.2800000000715954,0,0.0-2.5min,49.960000000000946
Preinduction,459,Novel,Social_interaction,6.640000000144937,0,0.0-2.5min,54.88000000000102
Preinduction,459,Novel,Social_interaction,2.6800000000584987,0,0.0-2.5min,66.39999999999964
Preinduction,459,Novel,Social_interaction,20.600000000449654,1,2.5-5.0min,273.9998400000004
Preinduction,459,Novel,Social_interaction,3.9200000000855653,1,2.5-5.0min,295.9998080000005
Preinduction,398,Social,Social_interaction,9.160000000199943,0,0.0-2.5min,96.52012800000011
Preinduction,398,Social,Social_interaction,2.5600000000558794,0,0.0-2.5min,117.20016000000032
Preinduction,398,Social,Social_interaction,0.4800000000104774,0,0.0-2.5min,131.28016000000025
Preinduction,398,Social,Social_interaction,6.400000000139698,1,2.5-5.0min,247.72032000000036
Preinduction,398,Social,Social_interaction,3.120000000068103,1,2.5-5.0min,274.32035200000064
Preinduction,398,Novel,Novel_interaction,16.640000000363216,0,0.0-2.5min,121.20006399999875
Preinduction,398,Novel,Social_interaction,2.040000000044529,1,2.5-5.0min,254.00006399999984
Preinduction,400,Social,Novel_interaction,3.5600000000777072,0,0.0-2.5min,71.59984000000259
Preinduction,400,Social,Novel_interaction,11.600000000253203,0,0.0-2.5min,135.91974400000254
Preinduction,400,Social,Novel_interaction,1.760000000038417,1,2.5-5.0min,151.5997120000029
Preinduction,400,Social,Novel_interaction,12.880000000281143,1,2.5-5.0min,206.83961600000112
Preinduction,400,Social,Social_interaction,12.880000000281143,0,0.0-2.5min,24.959936000002926
Preinduction,400,Social,Social_interaction,5.440000000118744,0,0.0-2.5min,52.71987200000149
Preinduction,400,Social,Social_interaction,1.9200000000419095,0,0.0-2.5min,62.07984000000215
Preinduction,400,Social,Social_interaction,12.640000000275904,0,0.0-2.5min,84.63983999999982
Preinduction,400,Social,Social_interaction,2.6400000000576256,0,0.0-2.5min,116.31977600000027
Preinduction,400,Social,Social_interaction,11.200000000244472,1,2.5-5.0min,233.3995520000026
Preinduction,400,Social,Social_interaction,0.40000000000873115,1,2.5-5.0min,247.27952000000005
Preinduction,400,Social,Social_interaction,3.0000000000654836,1,2.5-5.0min,248.95952000000034
Preinduction,400,Novel,Novel_interaction,6.16000000013446,0,0.0-2.5min,75.51980800000092
Preinduction,400,Novel,Novel_interaction,2.760000000060245,0,0.0-2.5min,91.5598080000018
