method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_SD,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
static_trial_SD,W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Outside_interaction,211.88022399999957,20,0.09439295287888709,5.663577172733225,2.7978311071204525,2.4978717876755683,0.9691093598599928,1.9382187197199856,299.8402239999996,87.96000000000001,211.88022399999957,7
static_trial_SD,Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Outside_interaction,227.88015999999976,14,0.06143580029081959,3.686148017449175,2.54230546701477,2.345477978480064,0.9110980737500491,1.8221961475000983,299.84015999999974,71.95999999999997,227.88015999999976,9
static_trial_SD,W1__ID580_NE__3CT_FP10_3__3CT_W1_C3-Trial____13,580,NE,Social,W1,Outside_interaction,243.90028799999942,20,0.08200072318077807,4.9200433908466845,2.7921856148104247,2.4996422964721887,0.9345371880668973,1.8690743761337947,299.8402879999994,55.93999999999998,243.90028799999942,7
static_trial_SD,W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Outside_interaction,240.0203519999992,29,0.12082308753551071,7.249385252130643,2.7800787416002346,2.618071390815759,0.9344388021459245,1.868877604291849,299.84035199999926,59.82000000000005,240.0203519999992,10
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Outside_interaction,273.3306480000001,28,0.10244003080108305,6.146401848064983,2.743983417033949,2.7064025649616523,0.9190635134547634,1.838127026909527,299.8396480000001,26.509000000000015,273.3306480000001,3
static_trial_SD,W1__ID588_NE__3CT_FP1_3__3CT_W1_C3-Trial_____3,588,NE,Social,W1,Outside_interaction,271.9397760000002,29,0.10664125868810004,6.398475521286002,2.8775771868068376,2.687866628325661,1.0028174980161895,2.005634996032379,299.83977600000026,27.900000000000034,271.9397760000002,4
static_trial_SD,W2__ID588_NE__3CT_FP1_3__3CT_W2_C3-Trial_____3,588,NE,Social,W2,Outside_interaction,263.5597439999999,34,0.12900300889653318,7.740180533791991,2.673478991519493,2.3297140810379577,0.9737589651911404,1.9475179303822807,299.8397439999999,36.27999999999997,263.5597439999999,5
static_trial_SD,Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Outside_interaction,251.28012800000081,28,0.11142942429574021,6.685765457744413,2.4105520954594795,2.2384542746239093,0.9264722304535247,1.8529444609070493,299.84012800000073,48.55999999999992,251.28012800000081,5
static_trial_SD,W1__ID590_NE__3CT_FP4_3__3CT_W1_C3-Trial_____6,590,NE,Social,W1,Outside_interaction,182.49993600000028,6,0.03287672385813873,1.9726034314883238,2.2499256126991427,2.0798033332886323,0.9397871877227012,1.8795743754454024,299.87993600000027,117.38,182.49993600000028,8
static_trial_SD,W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Outside_interaction,243.03999999999922,11,0.04526003949967098,2.715602369980259,2.4998234144533935,2.201186352942065,0.9099494873200248,1.8198989746400496,299.83999999999924,56.80000000000001,243.03999999999922,6
