method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,376,NE,Social,W1,Entire_trial,299.8796480000001,73,0.243430991355572,14.60585948133432,2.2678289725489313,1.8680734233387286,-1.5162288306430518e-17,0.7191098254993654,1.0786647382490482,13
whole_trial_mean_MAD,W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,376,NE,Social,W1,Social_interaction,46.715999999999944,27,0.5779604418186496,34.67762650911897,2.9240577147656457,2.654979721830423,-1.5162288306430518e-17,0.7191098254993654,1.0786647382490482,13
whole_trial_mean_MAD,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Entire_trial,299.8394880000001,76,0.25346894935999886,15.208136961599932,2.2374050484670867,1.7777913335580515,-1.5164310753850343e-17,0.7114413520909614,1.067162028136442,3
whole_trial_mean_MAD,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Social_interaction,10.282999999999987,6,0.5834873091510266,35.0092385490616,3.251932847476748,2.9223298211222577,-1.5164310753850343e-17,0.7114413520909614,1.067162028136442,3
whole_trial_mean_MAD,W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,372,NE,Social,W1,Entire_trial,299.8399359999994,85,0.2834845855890263,17.009075135341575,1.9769494722258865,1.7135777146661262,-1.5164310753850343e-17,0.7833984280915313,1.175097642137297,6
whole_trial_mean_MAD,W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,372,NE,Social,W1,Social_interaction,20.60800000000001,14,0.6793478260869562,40.76086956521737,2.190132029238804,2.004244984248267,-1.5164310753850343e-17,0.7833984280915313,1.175097642137297,6
whole_trial_mean_MAD,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Entire_trial,299.8397440000008,73,0.24346338822914618,14.60780329374877,2.1488720250737785,1.6596167712983276,3.791077688462586e-18,0.7045566101806509,1.0568349152709762,3
whole_trial_mean_MAD,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Social_interaction,12.584000000000032,1,0.07946598855689745,4.767959313413847,1.7778065866999164,1.7778065866999164,3.791077688462586e-18,0.7045566101806509,1.0568349152709762,3
whole_trial_mean_MAD,W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,374,WT,Social,W1,Entire_trial,299.84003200000006,95,0.31683561186386205,19.010136711831723,2.190328158963225,1.9508601220192923,2.8433082663469396e-17,0.7576484032806514,1.1364726049209772,4
whole_trial_mean_MAD,W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,374,WT,Social,W1,Social_interaction,13.343000000000014,7,0.5246196507532034,31.4771790451922,2.8915870318109715,2.2381774900374354,2.8433082663469396e-17,0.7576484032806514,1.1364726049209772,4
whole_trial_mean_MAD,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Entire_trial,299.84003200000006,96,0.32017072356769216,19.21024341406153,2.133773781692256,1.836911256352355,-1.7059849598081636e-17,0.7238777303726821,1.085816595559023,2
whole_trial_mean_MAD,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Social_interaction,9.544000000000011,3,0.31433361274098875,18.860016764459324,2.1804236900165184,1.4888162819403281,-1.7059849598081636e-17,0.7238777303726821,1.085816595559023,2
whole_trial_mean_MAD,W1__ID429_WT__3CT_FP11_1__3CT_W1_retracked-Trial____14,429,WT,Social,W1,Entire_trial,299.8402240000014,103,0.34351628552678615,20.610977131607168,2.004691107674804,1.7858889730234595,2.2746466130775518e-17,0.753944913313238,1.130917369969857,11
whole_trial_mean_MAD,W1__ID429_WT__3CT_FP11_1__3CT_W1_retracked-Trial____14,429,WT,Social,W1,Social_interaction,50.65799999999999,23,0.4540250305973391,27.241501835840346,2.5922052611216038,2.1744045601179707,2.2746466130775518e-17,0.753944913313238,1.130917369969857,11
whole_trial_mean_MAD,W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,429,WT,Novel,W1,Entire_trial,299.88022400000045,80,0.2667731767467263,16.006390604803578,2.3536655074943127,2.1145580757215785,-2.653400453625341e-17,0.7286893500132484,1.0930340250198727,5
whole_trial_mean_MAD,W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,429,WT,Novel,W1,Social_interaction,38.69199999999997,16,0.41352217512664147,24.811330507598488,2.4593803671903176,2.2288340395505424,-2.653400453625341e-17,0.7286893500132484,1.0930340250198727,5
whole_trial_mean_MAD,W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,423,NE,Social,W1,Entire_trial,299.8402559999995,88,0.29348961068122936,17.609376640873762,2.0095122230276794,1.68873913794672,2.2746466130775518e-17,0.7370070196235093,1.105510529435264,5
whole_trial_mean_MAD,W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,423,NE,Social,W1,Social_interaction,23.728000000000023,21,0.8850303438975042,53.10182063385025,2.763931745241295,2.5969541581831677,2.2746466130775518e-17,0.7370070196235093,1.105510529435264,5
whole_trial_mean_MAD,W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,423,NE,Novel,W1,Entire_trial,299.84003200000006,79,0.26347382460258,15.808429476154801,2.0746790589764488,1.6370644922869075,3.791077688462586e-18,0.7011717720605439,1.051757658090816,4
whole_trial_mean_MAD,W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,423,NE,Novel,W1,Social_interaction,35.33199999999998,17,0.48115023208422986,28.869013925053792,2.756640370559733,2.4955997557329916,3.791077688462586e-18,0.7011717720605439,1.051757658090816,4
whole_trial_mean_MAD,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,584,NE,Hab,W1,Entire_trial,299.8402239999996,104,0.3468513950950095,20.81108370570057,2.042932473137212,1.7953760106754666,0.0,0.7899644511175752,1.1849466766763628,8
