method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,24,122.19993599999998,2.520654302054863,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,25,123.11993600000005,1.867582907336122,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,26,124.3999359999998,2.0903844099598743,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,27,125.43993600000067,2.0399084078122622,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,28,128.0399040000002,2.0806802849699237,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,29,130.279904,1.535412032045697,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,30,130.99990400000024,1.5715072000428774,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,31,140.31990399999995,2.088224633247051,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,32,143.07990400000017,2.286104327443775,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,33,143.75990400000046,3.2454745347698206,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,34,144.43990399999984,3.2231570416114543,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,35,145.0399040000002,3.3169166879241265,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,36,200.7998400000006,1.793943539730739,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,37,207.67980799999987,1.6094458888412093,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,38,208.27980800000023,6.620670578859115,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,39,209.11980800000038,3.574190318959455,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,40,209.8798080000006,3.555288441397426,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,41,212.71980799999983,1.984629493000969,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,42,215.11980800000038,2.8509121641506874,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,43,233.91980800000056,1.6315984090763485,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,44,236.27980800000023,4.325862483238434,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,45,237.03980800000045,2.8035156697402996,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,46,242.15977600000042,2.2372873818157872,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,47,243.5197760000001,5.1423919521394446,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,48,262.79977599999984,1.9625173506678695,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,49,263.3997760000002,1.5605944836954766,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,50,263.9597760000006,3.6482227981925175,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,51,264.599776,4.347494595151696,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,52,265.79977599999984,3.2086246440969184,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,53,266.3997760000002,2.728151929875667,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,54,286.1597760000004,2.4296135105992334,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,55,287.7597759999999,2.255355317435133,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,56,288.3197760000003,1.6084230772322952,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,57,289.9597760000006,1.5406739416029787,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
